siteid,sitename,itemid,itemname,itemengname,itemunit,monitormonth,concentration
10,淡水,36,二氧化碳,CO2,ppm,200108,x
11,士林,36,二氧化碳,CO2,ppm,200108,x
10,淡水,36,二氧化碳,CO2,ppm,200109,x
65,宜蘭,33,細懸浮微粒,PM2.5,μg/m3,201911,10
65,宜蘭,14,溫度,AMB_TEMP,℃,201911,21.13
65,宜蘭,10,風速,WIND_SPEED,m/sec,201911,1.21
65,宜蘭,7,二氧化氮,NO2,ppb,201911,5.42
65,宜蘭,6,一氧化氮,NO,ppb,201911,.69
65,宜蘭,5,氮氧化物,NOx,ppb,201911,6.14
65,宜蘭,4,懸浮微粒,PM10,μg/m3,201911,23
65,宜蘭,3,臭氧,O3,ppb,201911,34
65,宜蘭,2,一氧化碳,CO,ppm,201911,.26
65,宜蘭,1,二氧化硫,SO2,ppb,201911,1.7
64,陽明,38,相對濕度,RH,percent,201911,91.63
64,陽明,36,二氧化碳,CO2,ppm,201911,411.93
64,陽明,33,細懸浮微粒,PM2.5,μg/m3,201911,7
64,陽明,32,降雨強度,RAIN_INT,㎜,201911,1.35
64,陽明,22,導電度,RAIN_COND,μmho/cm,201911,107.29
64,陽明,21,酸雨,PH_RAIN,pH,201911,4.43
64,陽明,14,溫度,AMB_TEMP,℃,201911,14.69
64,陽明,10,風速,WIND_SPEED,m/sec,201911,2.98
64,陽明,7,二氧化氮,NO2,ppb,201911,1.03
64,陽明,6,一氧化氮,NO,ppb,201911,.47
64,陽明,5,氮氧化物,NOx,ppb,201911,1.54
64,陽明,4,懸浮微粒,PM10,μg/m3,201911,15
64,陽明,3,臭氧,O3,ppb,201911,44.8
64,陽明,2,一氧化碳,CO,ppm,201911,.14
64,陽明,1,二氧化硫,SO2,ppb,201911,1.2
63,花蓮,143,小時風速值,WS_HR,m/sec,201911,1.99
63,花蓮,38,相對濕度,RH,percent,201911,69.04
63,花蓮,33,細懸浮微粒,PM2.5,μg/m3,201911,10
63,花蓮,32,降雨強度,RAIN_INT,㎜,201911,2.06
63,花蓮,22,導電度,RAIN_COND,μmho/cm,201911,42.04
63,花蓮,21,酸雨,PH_RAIN,pH,201911,5.05
63,花蓮,14,溫度,AMB_TEMP,℃,201911,22.87
63,花蓮,10,風速,WIND_SPEED,m/sec,201911,2.3
63,花蓮,7,二氧化氮,NO2,ppb,201911,6.29
63,花蓮,6,一氧化氮,NO,ppb,201911,1.51
63,花蓮,5,氮氧化物,NOx,ppb,201911,7.81
63,花蓮,4,懸浮微粒,PM10,μg/m3,201911,23
63,花蓮,3,臭氧,O3,ppb,201911,34.6
63,花蓮,2,一氧化碳,CO,ppm,201911,.24
63,花蓮,1,二氧化硫,SO2,ppb,201911,1.3
62,臺東,143,小時風速值,WS_HR,m/sec,201911,1.95
62,臺東,38,相對濕度,RH,percent,201911,69.3
62,臺東,33,細懸浮微粒,PM2.5,μg/m3,201911,8
62,臺東,32,降雨強度,RAIN_INT,㎜,201911,.5
62,臺東,22,導電度,RAIN_COND,μmho/cm,201911,22.9
62,臺東,21,酸雨,PH_RAIN,pH,201911,6.47
62,臺東,14,溫度,AMB_TEMP,℃,201911,24.66
62,臺東,10,風速,WIND_SPEED,m/sec,201911,2.45
62,臺東,7,二氧化氮,NO2,ppb,201911,4.4
62,臺東,6,一氧化氮,NO,ppb,201911,.73
62,臺東,5,氮氧化物,NOx,ppb,201911,5.09
62,臺東,4,懸浮微粒,PM10,μg/m3,201911,25
62,臺東,3,臭氧,O3,ppb,201911,36.4
62,臺東,2,一氧化碳,CO,ppm,201911,.26
62,臺東,1,二氧化硫,SO2,ppb,201911,1.3
61,恆春,143,小時風速值,WS_HR,m/sec,201911,7.24
61,恆春,38,相對濕度,RH,percent,201911,77.43
61,恆春,36,二氧化碳,CO2,ppm,201911,417.92
61,恆春,33,細懸浮微粒,PM2.5,μg/m3,201911,11
61,恆春,32,降雨強度,RAIN_INT,㎜,201911,.77
61,恆春,22,導電度,RAIN_COND,μmho/cm,201911,64.39
61,恆春,21,酸雨,PH_RAIN,pH,201911,5.33
61,恆春,14,溫度,AMB_TEMP,℃,201911,23.8
61,恆春,10,風速,WIND_SPEED,m/sec,201911,7.97
61,恆春,7,二氧化氮,NO2,ppb,201911,1.5
61,恆春,6,一氧化氮,NO,ppb,201911,.74
61,恆春,5,氮氧化物,NOx,ppb,201911,2.25
61,恆春,4,懸浮微粒,PM10,μg/m3,201911,22
61,恆春,3,臭氧,O3,ppb,201911,46.7
61,恆春,2,一氧化碳,CO,ppm,201911,.13
61,恆春,1,二氧化硫,SO2,ppb,201911,1.1
60,潮州,143,小時風速值,WS_HR,m/sec,201911,1.14
60,潮州,38,相對濕度,RH,percent,201911,75.3
60,潮州,33,細懸浮微粒,PM2.5,μg/m3,201911,30
60,潮州,14,溫度,AMB_TEMP,℃,201911,24.24
60,潮州,10,風速,WIND_SPEED,m/sec,201911,1.33
60,潮州,7,二氧化氮,NO2,ppb,201911,9.87
60,潮州,6,一氧化氮,NO,ppb,201911,2.21
60,潮州,5,氮氧化物,NOx,ppb,201911,12.09
60,潮州,4,懸浮微粒,PM10,μg/m3,201911,60
60,潮州,3,臭氧,O3,ppb,201911,42.8
60,潮州,2,一氧化碳,CO,ppm,201911,.36
60,潮州,1,二氧化硫,SO2,ppb,201911,2.4
59,屏東,143,小時風速值,WS_HR,m/sec,201911,1.23
59,屏東,38,相對濕度,RH,percent,201911,74.25
59,屏東,33,細懸浮微粒,PM2.5,μg/m3,201911,29
59,屏東,31,甲烷,CH4,ppm,201911,2.018
59,屏東,14,溫度,AMB_TEMP,℃,201911,25.23
59,屏東,10,風速,WIND_SPEED,m/sec,201911,1.51
59,屏東,9,非甲烷碳氫化合物,NMHC,ppm,201911,.145
59,屏東,8,總碳氫化合物,THC,ppm,201911,2.162
59,屏東,7,二氧化氮,NO2,ppb,201911,14.6
59,屏東,6,一氧化氮,NO,ppb,201911,1.49
59,屏東,5,氮氧化物,NOx,ppb,201911,16.1
59,屏東,4,懸浮微粒,PM10,μg/m3,201911,66
59,屏東,3,臭氧,O3,ppb,201911,43.5
59,屏東,2,一氧化碳,CO,ppm,201911,.44
59,屏東,1,二氧化硫,SO2,ppb,201911,2.6
58,小港,143,小時風速值,WS_HR,m/sec,201911,1.29
58,小港,38,相對濕度,RH,percent,201911,67.96
58,小港,33,細懸浮微粒,PM2.5,μg/m3,201911,29
58,小港,32,降雨強度,RAIN_INT,㎜,201911,.63
58,小港,31,甲烷,CH4,ppm,201911,1.943
58,小港,22,導電度,RAIN_COND,μmho/cm,201911,40.95
58,小港,21,酸雨,PH_RAIN,pH,201911,5.62
58,小港,14,溫度,AMB_TEMP,℃,201911,24.83
58,小港,10,風速,WIND_SPEED,m/sec,201911,1.53
58,小港,9,非甲烷碳氫化合物,NMHC,ppm,201911,.206
58,小港,8,總碳氫化合物,THC,ppm,201911,2.149
58,小港,7,二氧化氮,NO2,ppb,201911,23.78
58,小港,6,一氧化氮,NO,ppb,201911,5.21
58,小港,5,氮氧化物,NOx,ppb,201911,28.99
58,小港,4,懸浮微粒,PM10,μg/m3,201911,63
58,小港,3,臭氧,O3,ppb,201911,34.8
58,小港,2,一氧化碳,CO,ppm,201911,.46
58,小港,1,二氧化硫,SO2,ppb,201911,3.6
57,前鎮,143,小時風速值,WS_HR,m/sec,201911,1.45
57,前鎮,38,相對濕度,RH,percent,201911,70.43
57,前鎮,33,細懸浮微粒,PM2.5,μg/m3,201911,27
57,前鎮,31,甲烷,CH4,ppm,201911,2.014
57,前鎮,14,溫度,AMB_TEMP,℃,201911,24.93
57,前鎮,10,風速,WIND_SPEED,m/sec,201911,1.74
57,前鎮,9,非甲烷碳氫化合物,NMHC,ppm,201911,.198
57,前鎮,8,總碳氫化合物,THC,ppm,201911,2.211
57,前鎮,7,二氧化氮,NO2,ppb,201911,22.14
57,前鎮,6,一氧化氮,NO,ppb,201911,3.7
57,前鎮,5,氮氧化物,NOx,ppb,201911,25.84
57,前鎮,4,懸浮微粒,PM10,μg/m3,201911,66
57,前鎮,3,臭氧,O3,ppb,201911,35.8
57,前鎮,2,一氧化碳,CO,ppm,201911,.57
57,前鎮,1,二氧化硫,SO2,ppb,201911,3.1
56,前金,143,小時風速值,WS_HR,m/sec,201911,2.02
56,前金,38,相對濕度,RH,percent,201911,71.67
56,前金,33,細懸浮微粒,PM2.5,μg/m3,201911,29
56,前金,31,甲烷,CH4,ppm,201911,1.935
56,前金,14,溫度,AMB_TEMP,℃,201911,24.26
56,前金,10,風速,WIND_SPEED,m/sec,201911,2.28
56,前金,9,非甲烷碳氫化合物,NMHC,ppm,201911,.15
56,前金,8,總碳氫化合物,THC,ppm,201911,2.085
56,前金,7,二氧化氮,NO2,ppb,201911,15
56,前金,6,一氧化氮,NO,ppb,201911,2.94
56,前金,5,氮氧化物,NOx,ppb,201911,17.95
56,前金,4,懸浮微粒,PM10,μg/m3,201911,64
56,前金,3,臭氧,O3,ppb,201911,40
56,前金,2,一氧化碳,CO,ppm,201911,.44
56,前金,1,二氧化硫,SO2,ppb,201911,3
54,左營,143,小時風速值,WS_HR,m/sec,201911,1.78
54,左營,38,相對濕度,RH,percent,201911,76.46
54,左營,33,細懸浮微粒,PM2.5,μg/m3,201911,28
54,左營,31,甲烷,CH4,ppm,201911,1.994
54,左營,14,溫度,AMB_TEMP,℃,201911,24.04
54,左營,10,風速,WIND_SPEED,m/sec,201911,2
54,左營,9,非甲烷碳氫化合物,NMHC,ppm,201911,.151
54,左營,8,總碳氫化合物,THC,ppm,201911,2.146
54,左營,7,二氧化氮,NO2,ppb,201911,16.23
54,左營,6,一氧化氮,NO,ppb,201911,1.8
54,左營,5,氮氧化物,NOx,ppb,201911,18.04
54,左營,4,懸浮微粒,PM10,μg/m3,201911,65
54,左營,3,臭氧,O3,ppb,201911,40.5
54,左營,2,一氧化碳,CO,ppm,201911,.43
54,左營,1,二氧化硫,SO2,ppb,201911,3.1
53,楠梓,143,小時風速值,WS_HR,m/sec,201911,1.69
53,楠梓,38,相對濕度,RH,percent,201911,74.41
53,楠梓,33,細懸浮微粒,PM2.5,μg/m3,201911,28
53,楠梓,31,甲烷,CH4,ppm,201911,1.91
53,楠梓,14,溫度,AMB_TEMP,℃,201911,23.64
53,楠梓,10,風速,WIND_SPEED,m/sec,201911,1.97
53,楠梓,9,非甲烷碳氫化合物,NMHC,ppm,201911,.156
53,楠梓,8,總碳氫化合物,THC,ppm,201911,2.067
53,楠梓,7,二氧化氮,NO2,ppb,201911,16.66
53,楠梓,6,一氧化氮,NO,ppb,201911,3.08
53,楠梓,5,氮氧化物,NOx,ppb,201911,19.75
53,楠梓,4,懸浮微粒,PM10,μg/m3,201911,63
53,楠梓,3,臭氧,O3,ppb,201911,37
53,楠梓,2,一氧化碳,CO,ppm,201911,.4
53,楠梓,1,二氧化硫,SO2,ppb,201911,2.4
52,林園,143,小時風速值,WS_HR,m/sec,201911,1.86
52,林園,38,相對濕度,RH,percent,201911,75.39
52,林園,33,細懸浮微粒,PM2.5,μg/m3,201911,31
52,林園,31,甲烷,CH4,ppm,201911,2.096
52,林園,14,溫度,AMB_TEMP,℃,201911,24.94
52,林園,10,風速,WIND_SPEED,m/sec,201911,2.05
52,林園,9,非甲烷碳氫化合物,NMHC,ppm,201911,.087
52,林園,8,總碳氫化合物,THC,ppm,201911,2.183
52,林園,7,二氧化氮,NO2,ppb,201911,15.03
52,林園,6,一氧化氮,NO,ppb,201911,1.12
52,林園,5,氮氧化物,NOx,ppb,201911,16.15
52,林園,4,懸浮微粒,PM10,μg/m3,201911,71
52,林園,3,臭氧,O3,ppb,201911,44.2
52,林園,2,一氧化碳,CO,ppm,201911,.37
52,林園,1,二氧化硫,SO2,ppb,201911,3.9
51,大寮,143,小時風速值,WS_HR,m/sec,201911,1.21
51,大寮,38,相對濕度,RH,percent,201911,72.03
51,大寮,33,細懸浮微粒,PM2.5,μg/m3,201911,32
51,大寮,31,甲烷,CH4,ppm,201911,2.026
51,大寮,14,溫度,AMB_TEMP,℃,201911,24.38
51,大寮,10,風速,WIND_SPEED,m/sec,201911,1.49
51,大寮,9,非甲烷碳氫化合物,NMHC,ppm,201911,.208
51,大寮,8,總碳氫化合物,THC,ppm,201911,2.234
51,大寮,7,二氧化氮,NO2,ppb,201911,19.61
51,大寮,6,一氧化氮,NO,ppb,201911,2.28
51,大寮,5,氮氧化物,NOx,ppb,201911,21.9
51,大寮,4,懸浮微粒,PM10,μg/m3,201911,64
51,大寮,3,臭氧,O3,ppb,201911,36.3
51,大寮,2,一氧化碳,CO,ppm,201911,.42
51,大寮,1,二氧化硫,SO2,ppb,201911,5.3
50,鳳山,143,小時風速值,WS_HR,m/sec,201911,1.23
50,鳳山,38,相對濕度,RH,percent,201911,71.69
50,鳳山,33,細懸浮微粒,PM2.5,μg/m3,201911,28
50,鳳山,32,降雨強度,RAIN_INT,㎜,201911,.5
50,鳳山,31,甲烷,CH4,ppm,201911,1.988
50,鳳山,22,導電度,RAIN_COND,μmho/cm,201911,54.67
50,鳳山,21,酸雨,PH_RAIN,pH,201911,6.05
50,鳳山,14,溫度,AMB_TEMP,℃,201911,24.72
50,鳳山,10,風速,WIND_SPEED,m/sec,201911,1.57
50,鳳山,9,非甲烷碳氫化合物,NMHC,ppm,201911,.228
50,鳳山,8,總碳氫化合物,THC,ppm,201911,2.216
50,鳳山,7,二氧化氮,NO2,ppb,201911,21.59
50,鳳山,6,一氧化氮,NO,ppb,201911,2.38
50,鳳山,5,氮氧化物,NOx,ppb,201911,23.98
50,鳳山,4,懸浮微粒,PM10,μg/m3,201911,64
50,鳳山,3,臭氧,O3,ppb,201911,37.2
50,鳳山,2,一氧化碳,CO,ppm,201911,.52
50,鳳山,1,二氧化硫,SO2,ppb,201911,3.5
49,仁武,143,小時風速值,WS_HR,m/sec,201911,2
49,仁武,38,相對濕度,RH,percent,201911,71.95
49,仁武,33,細懸浮微粒,PM2.5,μg/m3,201911,30
49,仁武,31,甲烷,CH4,ppm,201911,1.998
49,仁武,14,溫度,AMB_TEMP,℃,201911,24.12
49,仁武,10,風速,WIND_SPEED,m/sec,201911,2.2
49,仁武,9,非甲烷碳氫化合物,NMHC,ppm,201911,.184
49,仁武,8,總碳氫化合物,THC,ppm,201911,2.182
49,仁武,7,二氧化氮,NO2,ppb,201911,19.07
49,仁武,6,一氧化氮,NO,ppb,201911,2.65
49,仁武,5,氮氧化物,NOx,ppb,201911,21.75
49,仁武,4,懸浮微粒,PM10,μg/m3,201911,66
49,仁武,3,臭氧,O3,ppb,201911,37
49,仁武,2,一氧化碳,CO,ppm,201911,.42
49,仁武,1,二氧化硫,SO2,ppb,201911,3.6
48,橋頭,143,小時風速值,WS_HR,m/sec,201911,1.88
48,橋頭,38,相對濕度,RH,percent,201911,72.11
48,橋頭,33,細懸浮微粒,PM2.5,μg/m3,201911,28
48,橋頭,32,降雨強度,RAIN_INT,㎜,201911,0
48,橋頭,22,導電度,RAIN_COND,μmho/cm,201911,0
48,橋頭,21,酸雨,PH_RAIN,pH,201911,0
48,橋頭,14,溫度,AMB_TEMP,℃,201911,24.05
48,橋頭,10,風速,WIND_SPEED,m/sec,201911,2.13
48,橋頭,7,二氧化氮,NO2,ppb,201911,16.47
48,橋頭,6,一氧化氮,NO,ppb,201911,1.77
48,橋頭,5,氮氧化物,NOx,ppb,201911,18.25
48,橋頭,4,懸浮微粒,PM10,μg/m3,201911,65
48,橋頭,3,臭氧,O3,ppb,201911,35.5
48,橋頭,2,一氧化碳,CO,ppm,201911,.41
48,橋頭,1,二氧化硫,SO2,ppb,201911,2.5
47,美濃,143,小時風速值,WS_HR,m/sec,201911,.68
47,美濃,38,相對濕度,RH,percent,201911,76.31
47,美濃,33,細懸浮微粒,PM2.5,μg/m3,201911,25
47,美濃,14,溫度,AMB_TEMP,℃,201911,24.26
47,美濃,10,風速,WIND_SPEED,m/sec,201911,.94
47,美濃,7,二氧化氮,NO2,ppb,201911,8.22
47,美濃,6,一氧化氮,NO,ppb,201911,1.49
47,美濃,5,氮氧化物,NOx,ppb,201911,9.72
47,美濃,4,懸浮微粒,PM10,μg/m3,201911,50
47,美濃,3,臭氧,O3,ppb,201911,37.3
47,美濃,2,一氧化碳,CO,ppm,201911,.32
47,美濃,1,二氧化硫,SO2,ppb,201911,1.7
46,臺南,143,小時風速值,WS_HR,m/sec,201911,1.5
46,臺南,38,相對濕度,RH,percent,201911,74.06
46,臺南,33,細懸浮微粒,PM2.5,μg/m3,201911,26
46,臺南,31,甲烷,CH4,ppm,201911,1.92
46,臺南,14,溫度,AMB_TEMP,℃,201911,23.65
46,臺南,10,風速,WIND_SPEED,m/sec,201911,1.77
46,臺南,9,非甲烷碳氫化合物,NMHC,ppm,201911,.152
46,臺南,8,總碳氫化合物,THC,ppm,201911,2.072
46,臺南,7,二氧化氮,NO2,ppb,201911,15.36
46,臺南,6,一氧化氮,NO,ppb,201911,2.1
46,臺南,5,氮氧化物,NOx,ppb,201911,17.46
46,臺南,4,懸浮微粒,PM10,μg/m3,201911,62
46,臺南,3,臭氧,O3,ppb,201911,38.1
46,臺南,2,一氧化碳,CO,ppm,201911,.41
46,臺南,1,二氧化硫,SO2,ppb,201911,2.7
45,安南,143,小時風速值,WS_HR,m/sec,201911,2.14
45,安南,38,相對濕度,RH,percent,201911,74.48
45,安南,33,細懸浮微粒,PM2.5,μg/m3,201911,26
45,安南,31,甲烷,CH4,ppm,201911,2.043
45,安南,14,溫度,AMB_TEMP,℃,201911,23.85
45,安南,10,風速,WIND_SPEED,m/sec,201911,2.41
45,安南,9,非甲烷碳氫化合物,NMHC,ppm,201911,.137
45,安南,8,總碳氫化合物,THC,ppm,201911,2.181
45,安南,7,二氧化氮,NO2,ppb,201911,14.19
45,安南,6,一氧化氮,NO,ppb,201911,1.78
45,安南,5,氮氧化物,NOx,ppb,201911,15.97
45,安南,4,懸浮微粒,PM10,μg/m3,201911,64
45,安南,3,臭氧,O3,ppb,201911,38.2
45,安南,2,一氧化碳,CO,ppm,201911,.35
45,安南,1,二氧化硫,SO2,ppb,201911,2.5
44,善化,143,小時風速值,WS_HR,m/sec,201911,2.22
44,善化,38,相對濕度,RH,percent,201911,73.41
44,善化,36,二氧化碳,CO2,ppm,201911,430.29
44,善化,33,細懸浮微粒,PM2.5,μg/m3,201911,26
44,善化,14,溫度,AMB_TEMP,℃,201911,22.42
44,善化,10,風速,WIND_SPEED,m/sec,201911,2.37
44,善化,7,二氧化氮,NO2,ppb,201911,12.36
44,善化,6,一氧化氮,NO,ppb,201911,1.88
44,善化,5,氮氧化物,NOx,ppb,201911,14.24
44,善化,4,懸浮微粒,PM10,μg/m3,201911,63
44,善化,3,臭氧,O3,ppb,201911,36.9
44,善化,2,一氧化碳,CO,ppm,201911,.32
44,善化,1,二氧化硫,SO2,ppb,201911,3.1
43,新營,143,小時風速值,WS_HR,m/sec,201911,1.9
43,新營,38,相對濕度,RH,percent,201911,72.95
43,新營,33,細懸浮微粒,PM2.5,μg/m3,201911,25
43,新營,32,降雨強度,RAIN_INT,㎜,201911,0
43,新營,31,甲烷,CH4,ppm,201911,1.981
43,新營,22,導電度,RAIN_COND,μmho/cm,201911,0
43,新營,21,酸雨,PH_RAIN,pH,201911,0
43,新營,14,溫度,AMB_TEMP,℃,201911,23.63
43,新營,10,風速,WIND_SPEED,m/sec,201911,2.17
43,新營,9,非甲烷碳氫化合物,NMHC,ppm,201911,.128
43,新營,8,總碳氫化合物,THC,ppm,201911,2.108
43,新營,7,二氧化氮,NO2,ppb,201911,14.49
43,新營,6,一氧化氮,NO,ppb,201911,1.39
43,新營,5,氮氧化物,NOx,ppb,201911,15.9
43,新營,4,懸浮微粒,PM10,μg/m3,201911,60
43,新營,3,臭氧,O3,ppb,201911,35.7
43,新營,2,一氧化碳,CO,ppm,201911,.34
43,新營,1,二氧化硫,SO2,ppb,201911,2.4
42,嘉義,143,小時風速值,WS_HR,m/sec,201911,1.65
42,嘉義,38,相對濕度,RH,percent,201911,70.29
42,嘉義,33,細懸浮微粒,PM2.5,μg/m3,201911,25
42,嘉義,31,甲烷,CH4,ppm,201911,1.895
42,嘉義,14,溫度,AMB_TEMP,℃,201911,23.66
42,嘉義,10,風速,WIND_SPEED,m/sec,201911,1.95
42,嘉義,9,非甲烷碳氫化合物,NMHC,ppm,201911,.167
42,嘉義,8,總碳氫化合物,THC,ppm,201911,2.062
42,嘉義,7,二氧化氮,NO2,ppb,201911,16.76
42,嘉義,6,一氧化氮,NO,ppb,201911,2.25
42,嘉義,5,氮氧化物,NOx,ppb,201911,19.01
42,嘉義,4,懸浮微粒,PM10,μg/m3,201911,56
42,嘉義,3,臭氧,O3,ppb,201911,32.8
42,嘉義,2,一氧化碳,CO,ppm,201911,.42
42,嘉義,1,二氧化硫,SO2,ppb,201911,3.2
41,臺西,143,小時風速值,WS_HR,m/sec,201911,6.83
41,臺西,38,相對濕度,RH,percent,201911,82.72
41,臺西,33,細懸浮微粒,PM2.5,μg/m3,201911,22
41,臺西,31,甲烷,CH4,ppm,201911,1.864
41,臺西,14,溫度,AMB_TEMP,℃,201911,22.4
41,臺西,10,風速,WIND_SPEED,m/sec,201911,7.08
41,臺西,9,非甲烷碳氫化合物,NMHC,ppm,201911,.038
41,臺西,8,總碳氫化合物,THC,ppm,201911,1.901
41,臺西,7,二氧化氮,NO2,ppb,201911,6.89
41,臺西,6,一氧化氮,NO,ppb,201911,5.3
41,臺西,5,氮氧化物,NOx,ppb,201911,12.19
41,臺西,4,懸浮微粒,PM10,μg/m3,201911,67
41,臺西,3,臭氧,O3,ppb,201911,44.7
41,臺西,2,一氧化碳,CO,ppm,201911,.23
41,臺西,1,二氧化硫,SO2,ppb,201911,2.3
40,朴子,143,小時風速值,WS_HR,m/sec,201911,1.45
40,朴子,38,相對濕度,RH,percent,201911,70.21
40,朴子,33,細懸浮微粒,PM2.5,μg/m3,201911,21
40,朴子,14,溫度,AMB_TEMP,℃,201911,22.99
40,朴子,10,風速,WIND_SPEED,m/sec,201911,1.82
40,朴子,7,二氧化氮,NO2,ppb,201911,9.5
40,朴子,6,一氧化氮,NO,ppb,201911,1.75
40,朴子,5,氮氧化物,NOx,ppb,201911,11.25
40,朴子,4,懸浮微粒,PM10,μg/m3,201911,64
40,朴子,3,臭氧,O3,ppb,201911,37.7
40,朴子,2,一氧化碳,CO,ppm,201911,.3
40,朴子,1,二氧化硫,SO2,ppb,201911,2.6
39,新港,143,小時風速值,WS_HR,m/sec,201911,2.25
39,新港,38,相對濕度,RH,percent,201911,73.65
39,新港,33,細懸浮微粒,PM2.5,μg/m3,201911,24
39,新港,14,溫度,AMB_TEMP,℃,201911,22.75
39,新港,10,風速,WIND_SPEED,m/sec,201911,2.51
39,新港,7,二氧化氮,NO2,ppb,201911,11.17
39,新港,6,一氧化氮,NO,ppb,201911,1.82
39,新港,5,氮氧化物,NOx,ppb,201911,13
39,新港,4,懸浮微粒,PM10,μg/m3,201911,65
39,新港,3,臭氧,O3,ppb,201911,36.7
39,新港,2,一氧化碳,CO,ppm,201911,.31
39,新港,1,二氧化硫,SO2,ppb,201911,2.5
38,崙背,143,小時風速值,WS_HR,m/sec,201911,1.28
38,崙背,38,相對濕度,RH,percent,201911,75.29
38,崙背,33,細懸浮微粒,PM2.5,μg/m3,201911,24
38,崙背,32,降雨強度,RAIN_INT,㎜,201911,0
38,崙背,22,導電度,RAIN_COND,μmho/cm,201911,0
38,崙背,21,酸雨,PH_RAIN,pH,201911,0
38,崙背,14,溫度,AMB_TEMP,℃,201911,23.29
38,崙背,10,風速,WIND_SPEED,m/sec,201911,1.81
38,崙背,7,二氧化氮,NO2,ppb,201911,10.98
38,崙背,6,一氧化氮,NO,ppb,201911,2.5
38,崙背,5,氮氧化物,NOx,ppb,201911,13.47
38,崙背,4,懸浮微粒,PM10,μg/m3,201911,72
38,崙背,3,臭氧,O3,ppb,201911,36.4
38,崙背,2,一氧化碳,CO,ppm,201911,.3
38,崙背,1,二氧化硫,SO2,ppb,201911,2.3
37,斗六,143,小時風速值,WS_HR,m/sec,201911,1.31
37,斗六,38,相對濕度,RH,percent,201911,70.4
37,斗六,33,細懸浮微粒,PM2.5,μg/m3,201911,25
37,斗六,14,溫度,AMB_TEMP,℃,201911,22.71
37,斗六,10,風速,WIND_SPEED,m/sec,201911,1.55
37,斗六,7,二氧化氮,NO2,ppb,201911,13.36
37,斗六,6,一氧化氮,NO,ppb,201911,2.72
37,斗六,5,氮氧化物,NOx,ppb,201911,16.08
37,斗六,4,懸浮微粒,PM10,μg/m3,201911,53
37,斗六,3,臭氧,O3,ppb,201911,37.1
37,斗六,2,一氧化碳,CO,ppm,201911,.34
37,斗六,1,二氧化硫,SO2,ppb,201911,2.5
36,南投,143,小時風速值,WS_HR,m/sec,201911,1.05
36,南投,38,相對濕度,RH,percent,201911,68.75
36,南投,33,細懸浮微粒,PM2.5,μg/m3,201911,22
36,南投,32,降雨強度,RAIN_INT,㎜,201911,0
36,南投,31,甲烷,CH4,ppm,201911,1.858
36,南投,22,導電度,RAIN_COND,μmho/cm,201911,0
36,南投,21,酸雨,PH_RAIN,pH,201911,0
36,南投,14,溫度,AMB_TEMP,℃,201911,22.89
36,南投,10,風速,WIND_SPEED,m/sec,201911,1.44
36,南投,9,非甲烷碳氫化合物,NMHC,ppm,201911,.153
36,南投,8,總碳氫化合物,THC,ppm,201911,2.012
36,南投,7,二氧化氮,NO2,ppb,201911,16.28
36,南投,6,一氧化氮,NO,ppb,201911,3.39
36,南投,5,氮氧化物,NOx,ppb,201911,19.67
36,南投,4,懸浮微粒,PM10,μg/m3,201911,43
36,南投,3,臭氧,O3,ppb,201911,28.3
36,南投,2,一氧化碳,CO,ppm,201911,.43
36,南投,1,二氧化硫,SO2,ppb,201911,1.9
35,二林,143,小時風速值,WS_HR,m/sec,201911,3.61
35,二林,38,相對濕度,RH,percent,201911,76.43
35,二林,33,細懸浮微粒,PM2.5,μg/m3,201911,21
35,二林,14,溫度,AMB_TEMP,℃,201911,22.66
35,二林,10,風速,WIND_SPEED,m/sec,201911,3.85
35,二林,7,二氧化氮,NO2,ppb,201911,9.97
35,二林,6,一氧化氮,NO,ppb,201911,1.71
35,二林,5,氮氧化物,NOx,ppb,201911,11.68
35,二林,4,懸浮微粒,PM10,μg/m3,201911,54
35,二林,3,臭氧,O3,ppb,201911,34.2
35,二林,2,一氧化碳,CO,ppm,201911,.3
35,二林,1,二氧化硫,SO2,ppb,201911,3.5
34,線西,143,小時風速值,WS_HR,m/sec,201911,4.74
34,線西,38,相對濕度,RH,percent,201911,85.82
34,線西,33,細懸浮微粒,PM2.5,μg/m3,201911,17
34,線西,31,甲烷,CH4,ppm,201911,1.913
34,線西,14,溫度,AMB_TEMP,℃,201911,22.6
34,線西,10,風速,WIND_SPEED,m/sec,201911,5.02
34,線西,9,非甲烷碳氫化合物,NMHC,ppm,201911,.067
34,線西,8,總碳氫化合物,THC,ppm,201911,1.98
34,線西,7,二氧化氮,NO2,ppb,201911,12.03
34,線西,6,一氧化氮,NO,ppb,201911,1.52
34,線西,5,氮氧化物,NOx,ppb,201911,13.55
34,線西,4,懸浮微粒,PM10,μg/m3,201911,49
34,線西,3,臭氧,O3,ppb,201911,38
34,線西,2,一氧化碳,CO,ppm,201911,.31
34,線西,1,二氧化硫,SO2,ppb,201911,3.3
33,彰化,143,小時風速值,WS_HR,m/sec,201911,2.16
33,彰化,38,相對濕度,RH,percent,201911,65.56
33,彰化,33,細懸浮微粒,PM2.5,μg/m3,201911,17
33,彰化,31,甲烷,CH4,ppm,201911,1.966
33,彰化,14,溫度,AMB_TEMP,℃,201911,23.13
33,彰化,10,風速,WIND_SPEED,m/sec,201911,2.47
